sequencing_id	P122	P127	P13	P137	P153	P155	P157	P184	P190	P198	P20	P205	P211	P218	P225	P231	P237	P243	P249	P256	P26	P262	P33	P44	P5	P63	P75	P81	P84
group	FOS	FOS	FOS	FOS	FOS	FOS	FOS	FOS	FOS	Control	FOS	Control	Control	Control	Control	Control	Control	Control	Control	Control	FOS	Control	FOS	FOS	FOS	Control	Control	Control	Control
Staphylococcus	851.620986637083	1991.3098661525	445.675139734878	193.500876322314	2.67091822059319	4.25577390302699	27314.0778582016	16.9472018778511	803764.098059536	287.379191087117	760.921566158882	686.909444527712	115.297449813519	892.330969109048	223.16094533263	220.397683680675	921.378556341194	769.917420015726	95.4801976778674	2033.9101686566	24290.9971219025	864.940738575455	342.737950553217	183.506752878592	937.464232129567	48862.5931299737	4703.96268563642	10291.7161622166	4.00136636131327
Butyricicoccus	103.247128917534	207.769727950638	178.748541473421	32.0181306144836	6.16365743213813	2.36431883501499	696.441838686374	23.5237279797038	90.8679839639644	362.597915826079	18.129170338663	12646.7307619979	1141.04717574069	2.08976807753875	297.921543291878	188.178802723278	13931.1978346827	3934.67892970842	32.2781755743145	1716.7449897391	32.7470003141286	2138.25693266859	10.8957407593605	103.137591664172	18711.7725147057	34.8911712649001	1.78681253727738	2.74763268547208	12.4252955430254
Enterococcus	8222.98264978319	995.654933076251	910.034002096678	2022.71059925412	194.566119607827	526.060940790836	26185.0714266754	153.789533458709	5631.65148233808	802.796151897368	296.109782198162	534.595555166351	562.174462194193	382.427558189592	1979.75478523869	659.139257833584	487.609826209454	1160.19436937545	607.868019731671	602.485172527886	1169.18919640074	283.932686112416	14.7188076924694	3233.45695118482	727.644890311487	818664.239086993	915684.962078477	13066.8251745434	211.861818920061
Subdoligranulum	178.567856255292	809.682029328327	1130.82091948067	22.2734821665973	12.7382253597521	17.7323912626125	22292.8463720661	200.584046106507	108.176171385672	189.932241623184	327.164379537538	644.059468282317	28645.1118368224	6.26930423261626	316.191374577272	26.6993117097148	2167.76277545513	32799.2639193097	174.708446814821	15322.1018259772	2190.41046545616	4362.5444533699	6.11690709297431	53.0130619427044	40788.9026471021	11.3283023587338	1.78681253727738	10.0746531800643	124.252955430254
Escherichia	247.98107556656	269.560725002367	37.5952955297827	758300.700361805	752.993482959542	94.5727534005998	397.885214397051	573.422487419232	789.686051115404	153674.037770914	279.659238742708	61847.4851461212	637.82776423932	16.71814462031	3903.46714322158	96.9133670232437	186.991410217203	158.638079811954	58.0104274307611	374.550846178041	1461.48649550093	52759.8612640897	22.3649415586873	205.765442348125	358.737969990524	506.148549388226	498.520697900388	181.343757241157	249.34830377868
Anaerostipes	1.61113855267933	383.344146757817	223.748970971191	5.56837054164932	16.436419819035	15.3680724275975	56.2291156644326	22.0060681100455	6.49057028314031	26023.6940967591	377.691048722145	14.2209528150657	17831.4605733271	2.08976807753875	125.086697634965	17.7139664227916	34.1826783128268	10832.0262737388	39.7269853222333	5939.41656146497	1.21285186348625	604.690273375368	0.764613386621789	51.4838390020495	39.6589062887162	39.875624302743	14.6518628056745	3.6635102472961	19.7962335770236
Hungatella	3066.13092729482	161.376487445779	1452.20373369133	4219.43277793478	3940.01528587043	145.878472120425	30081.5778860307	394.591566111161	283.42156903046	870.473157533215	122.707625162617	10842.3538146864	4855.10177584199	2.08976807753875	1191.01366404044	3339.9812052249	48958.3774549969	1529.56200162529	66.1364017012179	2105.83525385534	280.168780465323	66.0943484443257	26.1880084917963	1408.92406932341	13787.8537763696	227.019179269025	85.4096392818586	176.764369432037	909.784351624913
Streptococcus	20.004970362435	339.3505566239	1570.45802690319	645.930982831321	47.4601622274636	412.100772943114	350.218908224664	214.242984933432	6129.26187071217	289.562320301177	537.999916068656	210.133289622615	114.502294987219	2083.49877330614	2243.60253275904	617.549945362683	83.9704923771614	2975.03218443909	66.5878447162432	4917.08961254446	86996.6513160049	216.314548654964	42.0537362641984	1393.46192625679	334.558465871477	12002.1097830313	1265.77800140729	137971.459423418	1236.00100918672
Prevotella	527.782137548537	96101.1980554433	30.9876375275784	26.4497600728343	450.974268784773	4775.21475107978	118.880338447899	729.488510682428	6934.09258582157	301.867230416785	205.296067816526	55807.8839091229	544.68105601559	273.759618157577	185.164179653192	76035.5321628509	431.539425024382	401.00433813784	1386.60722065045	1354.73921656083	132307.584083988	1356.74364256176	341.973337166595	306.694156431351	2261.57455348987	46.2194736236339	56.4632761779651	15.5699185510084	341.800926547971
Lactobacillus	51.6906952317952	280.659107967969	892.603455987415	1109.49783042363	36.160123601877	16623.0528652234	94.7617583786377	4.55297960897493	43893.5633014502	65.0969438374132	24.3400898065383	28.4419056301314	647.142435061693	635220.533225223	92.2458352630609	57.3778477607814	30.2645056998941	1461.56126598097	4224.829456115	128.603081674666	34999.2662246226	13.2061714470891	3.44076023979805	92.4330310795872	64.6293287667967	1399.72503944515	1291.50810194409	391.995596460683	66.7596387650688
Bifidobacterium	147.016392931989	371.745836631603	152.090059188666	439.901272790297	12.5327701120142	237.614042919007	35.8210863750573	46.2886260245785	67.0692262591165	46.8380449561876	17.4577195853792	171.212787181383	89809.1026371083	1172.35989149924	12.5535037053011	1943.14509933492	43.0998987422598	339.640037924047	544.891719135631	12347.3111823371	43672.3699004127	108.633458394084	2.48499350652081	1.35930928058216	91.4075646369555	46.2194736236339	93.2716144458791	73.270204945922	50.7541733198157
Flavonifractor	65376.9144521679	2659.41252359531	38212.8837027128	586.070999508591	1745.13687428604	1947.25299251835	91028.2307266143	9303.25500100545	817.811855675679	10588.5736207734	751.856980989551	88974.3268764594	16868.1872980378	0	102971.683330696	83045.2567453308	13477.9057961865	10240.5653297522	335.196438656343	24423.1984519251	16683.9902341168	22884.1999079124	332.415669833823	17784.1831451766	50661.1456045673	3441.99138867768	10.3635127162088	35.719224911137	640.218617810124
Porphyromonas	18340.5299759712	1429.09178132746	1.36710165562846	8.35255581247398	871.130250408856	0.709295650504498	3.9959777629546	239.031429471184	331.019084440156	97.0500168795581	493.348440975282	4333.27401699067	5960.93495213225	0	4.5954790349763	18.8692251025388	102.412925538034	99.182891160368	18719.0846180273	157.102914181858	242.570372697249	2133.62207442033	22121.9856550883	48.7652204408852	437.603829219936	60.7197006428132	55.7485511630542	0.915877561824025	225.129507381257
